feature_name,user,inferred,reason
449,,cont,All values are not integers and convert to float
45,,cont,All values are not integers and convert to float
450,,cont,All values are not integers and convert to float
451,,cont,All values are not integers and convert to float
452,,cont,All values are not integers and convert to float
453,,cont,All values are not integers and convert to float
454,,cont,All values are not integers and convert to float
455,,cont,All values are not integers and convert to float
456,,cont,All values are not integers and convert to float
457,,cont,All values are not integers and convert to float
458,,cont,All values are not integers and convert to float
459,,cont,All values are not integers and convert to float
46,,cont,All values are not integers and convert to float
460,,cont,All values are not integers and convert to float
461,,cont,All values are not integers and convert to float
462,,cont,All values are not integers and convert to float
463,,cont,All values are not integers and convert to float
464,,cont,All values are not integers and convert to float
465,,cont,All values are not integers and convert to float
466,,cont,All values are not integers and convert to float
467,,cont,All values are not integers and convert to float
468,,cont,All values are not integers and convert to float
469,,cont,All values are not integers and convert to float
47,,cont,All values are not integers and convert to float
470,,cont,All values are not integers and convert to float
471,,cont,All values are not integers and convert to float
472,,cont,All values are not integers and convert to float
473,,cont,All values are not integers and convert to float
474,,cont,All values are not integers and convert to float
475,,cont,All values are not integers and convert to float
476,,cont,All values are not integers and convert to float
477,,cont,All values are not integers and convert to float
478,,cont,All values are not integers and convert to float
479,,cont,All values are not integers and convert to float
48,,cont,All values are not integers and convert to float
480,,cont,All values are not integers and convert to float
481,,cont,All values are not integers and convert to float
482,,cont,All values are not integers and convert to float
483,,cont,All values are not integers and convert to float
484,,cont,All values are not integers and convert to float
485,,cont,All values are not integers and convert to float
486,,cont,All values are not integers and convert to float
487,,cont,All values are not integers and convert to float
488,,cont,All values are not integers and convert to float
489,,cont,All values are not integers and convert to float
49,,cont,All values are not integers and convert to float
490,,cont,All values are not integers and convert to float
491,,cont,All values are not integers and convert to float
492,,cont,All values are not integers and convert to float
493,,cont,All values are not integers and convert to float
494,,cont,All values are not integers and convert to float
495,,cont,All values are not integers and convert to float
496,,cont,All values are not integers and convert to float
497,,cont,All values are not integers and convert to float
498,,cont,All values are not integers and convert to float
499,,cont,All values are not integers and convert to float
5,,cont,All values are not integers and convert to float
50,,cont,All values are not integers and convert to float
500,,cont,All values are not integers and convert to float
501,,cont,All values are not integers and convert to float
502,,cont,All values are not integers and convert to float
503,,cont,All values are not integers and convert to float
504,,cont,All values are not integers and convert to float
505,,cont,All values are not integers and convert to float
506,,cont,All values are not integers and convert to float
507,,cont,All values are not integers and convert to float
508,,cont,All values are not integers and convert to float
509,,cont,All values are not integers and convert to float
51,,cont,All values are not integers and convert to float
510,,cont,All values are not integers and convert to float
511,,cont,All values are not integers and convert to float
512,,cont,All values are not integers and convert to float
513,,cont,All values are not integers and convert to float
514,,cont,All values are not integers and convert to float
515,,cont,All values are not integers and convert to float
516,,cont,All values are not integers and convert to float
517,,cont,All values are not integers and convert to float
518,,cont,All values are not integers and convert to float
519,,cont,All values are not integers and convert to float
52,,cont,All values are not integers and convert to float
520,,cont,All values are not integers and convert to float
521,,cont,All values are not integers and convert to float
522,,cont,All values are not integers and convert to float
523,,cont,All values are not integers and convert to float
524,,cont,All values are not integers and convert to float
525,,cont,All values are not integers and convert to float
526,,cont,All values are not integers and convert to float
527,,cont,All values are not integers and convert to float
528,,cont,All values are not integers and convert to float
529,,cont,All values are not integers and convert to float
53,,cont,All values are not integers and convert to float
530,,cont,All values are not integers and convert to float
531,,cont,All values are not integers and convert to float
532,,cont,All values are not integers and convert to float
533,,cont,All values are not integers and convert to float
534,,cont,All values are not integers and convert to float
535,,cont,All values are not integers and convert to float
536,,cont,All values are not integers and convert to float
537,,cont,All values are not integers and convert to float
538,,cont,All values are not integers and convert to float
539,,cont,All values are not integers and convert to float
54,,cont,All values are not integers and convert to float
540,,cont,All values are not integers and convert to float
541,,cont,All values are not integers and convert to float
542,,cont,All values are not integers and convert to float
543,,cont,All values are not integers and convert to float
544,,cont,All values are not integers and convert to float
545,,cont,All values are not integers and convert to float
546,,cont,All values are not integers and convert to float
547,,cont,All values are not integers and convert to float
548,,cont,All values are not integers and convert to float
549,,cont,All values are not integers and convert to float
55,,cont,All values are not integers and convert to float
550,,cont,All values are not integers and convert to float
551,,cont,All values are not integers and convert to float
552,,cont,All values are not integers and convert to float
553,,cont,All values are not integers and convert to float
554,,cont,All values are not integers and convert to float
555,,cont,All values are not integers and convert to float
556,,cont,All values are not integers and convert to float
557,,cont,All values are not integers and convert to float
558,,cont,All values are not integers and convert to float
559,,cont,All values are not integers and convert to float
56,,cont,All values are not integers and convert to float
560,,cont,All values are not integers and convert to float
561,,cont,All values are not integers and convert to float
562,,cont,All values are not integers and convert to float
563,,cont,All values are not integers and convert to float
564,,cont,All values are not integers and convert to float
565,,cont,All values are not integers and convert to float
566,,cont,All values are not integers and convert to float
567,,cont,All values are not integers and convert to float
568,,cont,All values are not integers and convert to float
569,,cont,All values are not integers and convert to float
57,,cont,All values are not integers and convert to float
570,,cont,All values are not integers and convert to float
571,,cont,All values are not integers and convert to float
572,,cont,All values are not integers and convert to float
573,,cont,All values are not integers and convert to float
574,,cont,All values are not integers and convert to float
575,,cont,All values are not integers and convert to float
576,,cont,All values are not integers and convert to float
577,,cont,All values are not integers and convert to float
578,,cont,All values are not integers and convert to float
579,,cont,All values are not integers and convert to float
58,,cont,All values are not integers and convert to float
580,,cont,All values are not integers and convert to float
581,,cont,All values are not integers and convert to float
582,,cont,All values are not integers and convert to float
583,,cont,All values are not integers and convert to float
584,,cont,All values are not integers and convert to float
585,,cont,All values are not integers and convert to float
586,,cont,All values are not integers and convert to float
587,,cont,All values are not integers and convert to float
588,,cont,All values are not integers and convert to float
589,,cont,All values are not integers and convert to float
59,,cont,All values are not integers and convert to float
590,,cont,All values are not integers and convert to float
591,,cont,All values are not integers and convert to float
592,,cont,All values are not integers and convert to float
593,,cont,All values are not integers and convert to float
594,,cont,All values are not integers and convert to float
595,,cont,All values are not integers and convert to float
596,,cont,All values are not integers and convert to float
597,,cont,All values are not integers and convert to float
598,,cont,All values are not integers and convert to float
599,,cont,All values are not integers and convert to float
6,,cont,All values are not integers and convert to float
60,,cont,All values are not integers and convert to float
600,,cont,All values are not integers and convert to float
601,,cont,All values are not integers and convert to float
602,,cont,All values are not integers and convert to float
603,,cont,All values are not integers and convert to float
604,,cont,All values are not integers and convert to float
605,,cont,All values are not integers and convert to float
606,,cont,All values are not integers and convert to float
607,,cont,All values are not integers and convert to float
608,,cont,All values are not integers and convert to float
609,,cont,All values are not integers and convert to float
61,,cont,All values are not integers and convert to float
610,,cont,All values are not integers and convert to float
611,,cont,All values are not integers and convert to float
612,,cont,All values are not integers and convert to float
613,,cont,All values are not integers and convert to float
614,,cont,All values are not integers and convert to float
615,,cont,All values are not integers and convert to float
616,,cont,All values are not integers and convert to float
617,,cont,All values are not integers and convert to float
618,,cont,All values are not integers and convert to float
619,,cont,All values are not integers and convert to float
62,,cont,All values are not integers and convert to float
620,,cont,All values are not integers and convert to float
621,,cont,All values are not integers and convert to float
622,,cont,All values are not integers and convert to float
623,,cont,All values are not integers and convert to float
624,,cont,All values are not integers and convert to float
625,,cont,All values are not integers and convert to float
626,,cont,All values are not integers and convert to float
627,,cont,All values are not integers and convert to float
628,,cont,All values are not integers and convert to float
629,,cont,All values are not integers and convert to float
63,,cont,All values are not integers and convert to float
630,,cont,All values are not integers and convert to float
631,,cont,All values are not integers and convert to float
632,,cont,All values are not integers and convert to float
633,,cont,All values are not integers and convert to float
634,,cont,All values are not integers and convert to float
635,,cont,All values are not integers and convert to float
636,,cont,All values are not integers and convert to float
637,,cont,All values are not integers and convert to float
638,,cont,All values are not integers and convert to float
639,,cont,All values are not integers and convert to float
64,,cont,All values are not integers and convert to float
640,,cont,All values are not integers and convert to float
641,,cont,All values are not integers and convert to float
642,,cont,All values are not integers and convert to float
643,,cont,All values are not integers and convert to float
644,,cont,All values are not integers and convert to float
645,,cont,All values are not integers and convert to float
646,,cont,All values are not integers and convert to float
647,,cont,All values are not integers and convert to float
648,,cont,All values are not integers and convert to float
649,,cont,All values are not integers and convert to float
65,,cont,All values are not integers and convert to float
650,,cont,All values are not integers and convert to float
651,,cont,All values are not integers and convert to float
652,,cont,All values are not integers and convert to float
653,,cont,All values are not integers and convert to float
654,,cont,All values are not integers and convert to float
655,,cont,All values are not integers and convert to float
656,,cont,All values are not integers and convert to float
657,,cont,All values are not integers and convert to float
658,,cont,All values are not integers and convert to float
659,,cont,All values are not integers and convert to float
66,,cont,All values are not integers and convert to float
660,,cont,All values are not integers and convert to float
661,,cont,All values are not integers and convert to float
662,,cont,All values are not integers and convert to float
663,,cont,All values are not integers and convert to float
664,,cont,All values are not integers and convert to float
665,,cont,All values are not integers and convert to float
666,,cont,All values are not integers and convert to float
667,,cont,All values are not integers and convert to float
668,,cont,All values are not integers and convert to float
669,,cont,All values are not integers and convert to float
67,,cont,All values are not integers and convert to float
670,,cont,All values are not integers and convert to float
671,,cont,All values are not integers and convert to float
672,,cont,All values are not integers and convert to float
673,,cont,All values are not integers and convert to float
674,,cont,All values are not integers and convert to float
675,,cont,All values are not integers and convert to float
676,,cont,All values are not integers and convert to float
677,,cont,All values are not integers and convert to float
678,,cont,All values are not integers and convert to float
679,,cont,All values are not integers and convert to float
68,,cont,All values are not integers and convert to float
680,,cont,All values are not integers and convert to float
681,,cont,All values are not integers and convert to float
682,,cont,All values are not integers and convert to float
683,,cont,All values are not integers and convert to float
684,,cont,All values are not integers and convert to float
685,,cont,All values are not integers and convert to float
686,,cont,All values are not integers and convert to float
687,,cont,All values are not integers and convert to float
688,,cont,All values are not integers and convert to float
689,,cont,All values are not integers and convert to float
69,,cont,All values are not integers and convert to float
690,,cont,All values are not integers and convert to float
691,,cont,All values are not integers and convert to float
692,,cont,All values are not integers and convert to float
693,,cont,All values are not integers and convert to float
694,,cont,All values are not integers and convert to float
695,,cont,All values are not integers and convert to float
696,,cont,All values are not integers and convert to float
697,,cont,All values are not integers and convert to float
698,,cont,All values are not integers and convert to float
699,,cont,All values are not integers and convert to float
7,,cont,All values are not integers and convert to float
70,,cont,All values are not integers and convert to float
700,,cont,All values are not integers and convert to float
701,,cont,All values are not integers and convert to float
702,,cont,All values are not integers and convert to float
703,,cont,All values are not integers and convert to float
704,,cont,All values are not integers and convert to float
705,,cont,All values are not integers and convert to float
706,,cont,All values are not integers and convert to float
707,,cont,All values are not integers and convert to float
708,,cont,All values are not integers and convert to float
709,,cont,All values are not integers and convert to float
71,,cont,All values are not integers and convert to float
710,,cont,All values are not integers and convert to float
711,,cont,All values are not integers and convert to float
712,,cont,All values are not integers and convert to float
713,,cont,All values are not integers and convert to float
714,,cont,All values are not integers and convert to float
715,,cont,All values are not integers and convert to float
716,,cont,All values are not integers and convert to float
717,,cont,All values are not integers and convert to float
718,,cont,All values are not integers and convert to float
719,,cont,All values are not integers and convert to float
72,,cont,All values are not integers and convert to float
720,,cont,All values are not integers and convert to float
721,,cont,All values are not integers and convert to float
722,,cont,All values are not integers and convert to float
723,,cont,All values are not integers and convert to float
724,,cont,All values are not integers and convert to float
725,,cont,All values are not integers and convert to float
726,,cont,All values are not integers and convert to float
727,,cont,All values are not integers and convert to float
728,,cont,All values are not integers and convert to float
729,,cont,All values are not integers and convert to float
73,,cont,All values are not integers and convert to float
730,,cont,All values are not integers and convert to float
731,,cont,All values are not integers and convert to float
732,,cont,All values are not integers and convert to float
733,,cont,All values are not integers and convert to float
734,,cont,All values are not integers and convert to float
735,,cont,All values are not integers and convert to float
