,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
14__label.5,-19.52465956803395,2.44061493106375e-83,14560489.0,8.769818184175818e-63,18.464862087067694,3.960334207929241e-76,0.32691973362361987,0.592550614651455,0.14720989452645206,1.6130545175913663e-64,0.04382282144938787
14__label.6,-13.521219930046085,4.0899368237588857e-32,868525.0,1.5908435906596008e-38,15.154363302187965,7.08991597382268e-52,0.7590203356413673,0.7365116665695869,0.10437285513785718,3.9026995982317776e-33,0.007667909390782102
15__label.0,44.98166871233426,1.0009269961847097e-210,6970573.0,3.0274916114465283e-230,-61.78479934409526,0.0,-1.6483095921063533,0.881027575412984,-0.3329415334958231,0.0,0.05635099305291891
15__label.1,-14.261366931840051,9.055755580911842e-46,18455738.5,0.5971326299420754,0.5635750380669079,0.5730433788705103,0.2275198422721317,0.5028696646453356,0.10498934047343082,1.6472943407593836e-33,0.07973406259048277
15__label.2,33.723884403454925,5.9337436807709575e-167,6771711.0,3.7591697093999115e-134,-51.35924015792101,0.0,-0.7656586925877045,0.7760508419800455,-0.1697434420912609,1.8016010639937614e-85,0.05818247076895777
15__label.3,53.257623005419916,5.693e-319,10215852.5,0.0,-79.07533323485349,0.0,-1.4904855380160438,0.8725874521889312,-0.36203847233166153,0.0,0.07917723098847573
15__label.4,-78.06109231226014,0.0,5107314.0,0.0,82.52088077691351,0.0,1.0087323445852896,0.814025348093868,0.37344954053816226,0.0,0.1306740261697077
15__label.5,-15.961131047076021,1.4092302380666743e-56,15285325.0,5.6642562146769965e-39,13.52329427865289,1.1395624952907749e-41,0.27771069230385215,0.5722673684858559,0.1254303005708532,3.3837325409755947e-47,0.017442270052747677
15__label.6,48.81631020669188,4.826647393444365e-135,3175581.0,1.1413738907143267e-142,-73.17502988175687,0.0,-2.871146165756373,0.9633902827935694,-0.3689691791282904,0.0,0.05794119287530086
16__label.0,-18.977273208678778,1.132695350800462e-66,2384978.0,6.0680176894035356e-64,31.78076373541255,1.193862154224964e-221,0.5082152612316075,0.6985568640119961,0.10822584103072358,1.6354673482883574e-35,0.03304410649508305
16__label.1,60.51572196964555,0.0,28455651.0,0.0,-63.21683648946338,0.0,-0.9610281947305345,0.7664915345633712,-0.40727286236756904,0.0,0.10885984992518538
16__label.2,-84.89485714457496,0.0,358282.0,0.0,119.84299167978442,0.0,2.328527585531832,0.958940207612774,0.4640189980168844,0.0,0.12078542953797777
16__label.3,19.48340735215226,2.331037282218007e-76,6588910.5,8.330831530943476e-11,-10.062652778182851,8.079148202875006e-24,-0.36697742341025735,0.5627920553762789,-0.09519140659614192,8.082252134646367e-28,0.038479209030759076
16__label.4,42.89387779786858,0.0,18709891.5,2.2769477343335215e-181,-35.77321894764739,2.881924527982327e-280,-0.673905919155573,0.6812907056260883,-0.2597202785522204,2.047448717310602e-201,0.051694536979542516
16__label.5,-52.463460058817994,0.0,8122401.0,0.0,61.11761142634322,0.0,0.9905113870301142,0.772709055650232,0.41107248130116397,0.0,0.14330366822650986
16__label.6,-2.989726511578699,0.003046373703181867,1361981.0,1.8963905360818712e-06,6.968571854726558,3.201744434902927e-12,0.14263705319430844,0.5868097016736564,0.019717896483056767,0.023847596953209857,0.004713649938345554
17__label.0,-52.91360361603019,3.2186485880591105e-242,544747.0,3.351547425577512e-294,68.46160981703868,0.0,2.6197669973496835,0.9311481095422863,0.48938840570539816,0.0,0.09232647631056379
17__label.1,-21.764943611034244,3.4022508774815014e-102,12302867.0,1.0218081919671505e-211,34.486363257204715,1.2844163718604687e-260,0.4024704181065729,0.6686055994164724,0.18357877761325636,6.834935820287009e-100,0.060464515503906524
17__label.2,11.101656434164756,6.787058619090496e-27,5052374.0,1.7247586641903693e-12,-8.505551361753016,1.8073458479266197e-17,-0.3065649696224762,0.579011581666449,-0.06880159498047281,2.952024608817392e-15,0.008717180621924836
17__label.3,-0.14565094104713605,0.8842206984337925,5190488.5,4.6377942532335595e-09,6.310866002473172,2.774783669425532e-10,0.003888250994833375,0.5566542160009703,0.0010131857988298079,0.9075772973212899,0.012635880470485805
17__label.4,58.168998024647365,0.0,21855622.5,0.0,-65.35004688422839,0.0,-0.8525114425312815,0.7958374571505351,-0.3220973836466681,1.1026537717e-314,0.10286049445644463
17__label.5,23.301423316722623,2.2131830702022375e-117,20659037.0,3.119410535900139e-45,-15.364303772482483,2.8407390920761473e-53,-0.3669731811958945,0.578106403400521,-0.16478205600160853,1.3701706673449991e-80,0.026978578698765743
17__label.6,-26.038645460160012,3.2038672999114783e-75,376959.0,2.043143014244799e-99,41.24940484557782,0.0,1.5381254193383596,0.8856402536696178,0.20801701835770742,2.529963992125427e-128,0.03127605733801486
18__label.0,29.8628240677534,2.054381105078765e-131,6253765.0,1.2479507526822784e-134,-36.24620722174195,1.140272071760584e-287,-0.8479613836714587,0.7904284791440503,-0.17871823033549084,1.0901008286015962e-94,0.0366154350763086
18__label.1,-28.422178020131923,2.588787310299119e-172,12811229.5,4.7647260516427946e-179,32.79956974370833,5.971870110058509e-236,0.43776295379259444,0.6549121663356593,0.19906362597767793,1.833263185391509e-117,0.0907243307011174
18__label.2,55.30202499633683,2.805922310836785e-268,8075445.0,0.0,-57.97842486011058,0.0,-2.5029976001481726,0.9254612152842241,-0.49064223516389904,0.0,0.13013115730810676
18__label.3,-1.2191719317804437,0.22297071333947732,5798952.5,0.6281914752860325,0.6521856456819265,0.5142814188284583,0.025268812707335768,0.5046822389673664,0.0065843126878589765,0.4505698967177179,0.017161530787955126
18__label.4,42.22924709085004,0.0,20618453.5,0.0,-52.63330057758144,0.0,-0.6706998242455224,0.7507879312893766,-0.2585674579646812,1.3782140665882743e-199,0.10920652028040334
18__label.5,-35.92841107987105,9.785436511051144e-260,11836649.5,2.8307467610162243e-204,32.697021294653936,1.7216832766267382e-234,0.6951665765228522,0.6687724180581323,0.3017274019065343,1.625871670453903e-274,0.06706932282843692
18__label.6,-22.08032149727393,1.1970257984742046e-62,587600.0,8.96851586538409e-70,25.156512734851894,1.1993494761677628e-139,1.079098939809076,0.821737146629388,0.14756827527216876,7.91970507028161e-65,0.016975012489155672
19__label.0,-31.33713783088537,9.623535050508524e-136,1530141.5,8.216183801201786e-150,32.15877654302086,6.65867401199408e-227,1.213006904408804,0.8066017161309713,0.25148822957371464,1.45400790671974e-188,0.05538666212636967
19__label.1,106.703133529036,0.0,32857913.5,0.0,-128.92313610997712,0.0,-1.7423409972191541,0.8850724427694701,-0.6287048145201146,0.0,0.2721184698663732
